2019-01-06 16:09:46,801 [main] INFO  marytts.Prosody Module started (PHONEMES->INTONATION, locale en).
2019-01-06 16:09:46,802 [main] INFO  marytts.Prosody Starting power-on self test.
2019-01-06 16:09:46,802 [main] INFO  marytts.Prosody Power-on self test complete.
2019-01-06 16:09:46,803 [main] INFO  marytts.SimplePhoneme2AP Module started (SIMPLEPHONEMES->ACOUSTPARAMS, locale en_US).
2019-01-06 16:09:46,803 [main] INFO  marytts.SimplePhoneme2AP Starting power-on self test.
2019-01-06 16:09:46,816 [main] INFO  marytts.SimplePhoneme2AP Power-on self test complete.
2019-01-06 16:09:46,816 [main] INFO  marytts.PronunciationModel Module started (INTONATION->ALLOPHONES, locale en).
2019-01-06 16:09:46,816 [main] INFO  marytts.PronunciationModel Starting power-on self test.
2019-01-06 16:09:46,817 [main] INFO  marytts.PronunciationModel Power-on self test complete.
2019-01-06 16:09:46,817 [main] INFO  marytts.OpenNLPPosTagger Module started (WORDS->PARTSOFSPEECH, locale en).
2019-01-06 16:09:48,043 [main] INFO  marytts.OpenNLPPosTagger Starting power-on self test.
2019-01-06 16:09:48,043 [main] INFO  marytts.OpenNLPPosTagger Power-on self test complete.
2019-01-06 16:09:48,043 [main] INFO  marytts.JTokeniser Module started (RAWMARYXML->TOKENS, locale de).
2019-01-06 16:09:48,057 [main] INFO  marytts.JTokeniser Starting power-on self test.
2019-01-06 16:09:48,064 [main] INFO  marytts.JTokeniser Power-on self test complete.
2019-01-06 16:09:48,064 [main] INFO  marytts.Preprocess Module started (TOKENS->WORDS, locale de).
2019-01-06 16:09:48,064 [main] INFO  marytts.Preprocess Starting power-on self test.
2019-01-06 16:09:48,066 [main] INFO  marytts.Preprocess Expanding say-as elements...
2019-01-06 16:09:48,066 [main] INFO  marytts.Preprocess Matching and expanding patterns...
2019-01-06 16:09:48,289 [main] INFO  marytts.Preprocess Done.
2019-01-06 16:09:48,289 [main] INFO  marytts.Preprocess Power-on self test complete.
2019-01-06 16:09:48,296 [main] INFO  marytts.OpenNLPPosTagger Module started (WORDS->PARTSOFSPEECH, locale de).
